customer_id,acquisition_date,acquisition_channel,campaign_id,first_touch_channel,last_touch_channel,acquisition_device,acquisition_platform,referral_flag
CUST000001,2025-05-25,Direct,,Direct,Direct,Mobile,Website,False
CUST000002,2024-08-26,Direct,,Paid Search,Direct,Mobile,iOS,False
CUST000003,2025-06-04,Influencer,CAMP0003,Influencer,Influencer,Desktop,Website,False
CUST000004,2025-01-14,Influencer,,Organic Social,Influencer,Mobile,iOS,False
CUST000005,2023-09-26,Organic Search,,Organic Search,Organic Search,Mobile,Website,False
CUST000006,2023-12-20,Organic Search,,Organic Search,Organic Search,Desktop,Website,False
CUST000007,2024-06-12,Organic Search,,Organic Search,Organic Search,Mobile,Website,False
CUST000008,2025-05-31,Referral,,Influencer,Referral,Mobile,iOS,True
CUST000009,2024-05-25,Organic Social,,Direct,Organic Social,Tablet,Website,False
CUST000010,2025-12-02,Organic Search,,Organic Search,Organic Search,Mobile,Website,False
CUST000011,2024-09-27,Paid Social,,Paid Social,Paid Social,Mobile,Website,False
CUST000012,2023-06-05,Paid Social,,Paid Social,Paid Social,Desktop,Website,False
CUST000013,2024-07-31,Paid Social,,Paid Social,Paid Social,Mobile,Website,False
CUST000014,2025-04-07,Organic Search,,Organic Search,Organic Search,Mobile,Website,False
CUST000015,2023-06-10,Referral,,Referral,Referral,Mobile,Website,True
CUST000016,2025-03-04,Paid Social,,Direct,Paid Social,Desktop,Website,False
CUST000017,2025-02-21,Organic Search,,Organic Search,Organic Search,Desktop,Website,False
CUST000018,2025-05-01,Paid Social,CAMP0018,Community Event,Paid Social,Mobile,Website,False
CUST000019,2023-04-12,Paid Search,,Paid Search,Paid Search,Mobile,Android,False
CUST000020,2025-10-10,Direct,,Organic Search,Direct,Mobile,Website,False
CUST000021,2025-04-25,Paid Social,CAMP0018,Paid Social,Paid Social,Mobile,iOS,False
CUST000022,2025-10-09,Direct,,Direct,Direct,Mobile,Website,False
CUST000023,2025-03-01,Referral,,Referral,Referral,Mobile,iOS,True
CUST000024,2024-09-26,Organic Search,,Organic Social,Organic Search,Desktop,Website,False
CUST000025,2025-11-25,Paid Social,CAMP0002,Paid Social,Paid Social,Mobile,Website,False
CUST000026,2025-03-20,Organic Social,,Referral,Organic Social,Mobile,iOS,False
CUST000027,2025-11-16,Organic Search,,Referral,Organic Search,Mobile,Website,False
CUST000028,2024-03-15,Paid Social,,Paid Social,Paid Social,Mobile,Website,False
CUST000029,2025-07-01,Paid Search,CAMP0053,Influencer,Paid Search,Mobile,Website,False
CUST000030,2024-05-13,Organic Search,,Organic Search,Organic Search,Mobile,Website,False
CUST000031,2023-07-01,Paid Social,,Paid Social,Paid Social,Mobile,Website,False
CUST000032,2023-04-19,Paid Social,,Paid Social,Paid Social,Mobile,Website,False
CUST000033,2025-09-11,Referral,,Referral,Referral,Mobile,iOS,True
CUST000034,2025-11-25,Influencer,,Influencer,Influencer,Mobile,Website,False
CUST000035,2025-09-05,Paid Social,CAMP0019,Paid Social,Paid Social,Mobile,Website,False
CUST000036,2025-07-30,Organic Search,,Organic Search,Organic Search,Mobile,Website,False
CUST000037,2024-12-08,Direct,,Direct,Direct,Mobile,Website,False
CUST000038,2023-06-10,Referral,,Paid Search,Referral,Mobile,Android,True
CUST000039,2023-04-13,Organic Search,,Organic Search,Organic Search,Desktop,Website,False
CUST000040,2024-12-15,Organic Social,,Paid Search,Organic Social,Desktop,Website,False
CUST000041,2025-12-15,Organic Search,,Organic Search,Organic Search,Mobile,Website,False
CUST000042,2023-06-07,Paid Social,,Direct,Paid Social,Tablet,Website,False
CUST000043,2025-07-08,Organic Search,,Organic Search,Organic Search,Mobile,iOS,False
CUST000044,2023-12-08,Organic Search,,Organic Search,Organic Search,Mobile,Website,False
CUST000045,2024-01-28,Organic Search,,Organic Search,Organic Search,Mobile,iOS,False
CUST000046,2023-07-19,Paid Social,,Paid Social,Paid Social,Mobile,Website,False
CUST000047,2025-03-09,Paid Search,,Direct,Paid Search,Mobile,iOS,False
CUST000048,2025-03-13,Community Event,,Community Event,Community Event,Mobile,Website,False
