customer_id,signup_date,location_id,age_band,gender,customer_persona,preferred_sport,marketing_consent
CUST000001,2025-05-25,LOC008,35-44,Women,Urban Runner,Running,False
CUST000002,2024-08-26,LOC004,25-34,Women,Urban Runner,Running,True
CUST000003,2025-06-04,LOC002,25-34,Women,Active Lifestyle,Hiking,True
CUST000004,2025-01-14,LOC004,25-34,Men,Performance Athlete,Running,False
CUST000005,2023-09-26,LOC013,25-34,Women,Urban Runner,Hiking,True
CUST000006,2023-12-20,LOC009,45-54,Men,Outdoor Explorer,Multi-Sport,False
CUST000007,2024-06-12,LOC013,45-54,Women,Urban Runner,Running,False
CUST000008,2025-05-31,LOC012,35-44,Men,Active Lifestyle,Hiking,True
CUST000009,2024-05-25,LOC009,25-34,Women,Studio Regular,Pilates,False
CUST000010,2025-12-02,LOC001,25-34,Men,Studio Regular,Gym,True
CUST000011,2024-09-27,LOC012,45-54,Women,Performance Athlete,Running,True
CUST000012,2023-06-05,LOC007,25-34,Men,Active Lifestyle,Pilates,True
CUST000013,2024-07-31,LOC014,35-44,Women,Performance Athlete,Multi-Sport,True
CUST000014,2025-04-07,LOC013,45-54,Women,Performance Athlete,Gym,True
CUST000015,2023-06-10,LOC004,35-44,Women,Studio Regular,Gym,True
CUST000016,2025-03-04,LOC010,25-34,Men,Urban Runner,Running,True
CUST000017,2025-02-21,LOC013,18-24,Men,Outdoor Explorer,Hiking,False
CUST000018,2025-05-01,LOC007,25-34,Women,Performance Athlete,Running,True
CUST000019,2023-04-12,LOC004,25-34,Women,Active Lifestyle,Multi-Sport,True
CUST000020,2025-10-10,LOC010,25-34,Women,Urban Runner,Hiking,True
CUST000021,2025-04-25,LOC008,55+,Women,Urban Runner,Running,True
CUST000022,2025-10-09,LOC004,25-34,Women,Outdoor Explorer,Multi-Sport,True
CUST000023,2025-03-01,LOC013,55+,Men,Urban Runner,Running,True
CUST000024,2024-09-26,LOC014,18-24,Men,Active Lifestyle,Multi-Sport,True
CUST000025,2025-11-25,LOC007,25-34,Women,Urban Runner,Running,False
CUST000026,2025-03-20,LOC002,25-34,Men,Active Lifestyle,Gym,False
CUST000027,2025-11-16,LOC004,25-34,Women,Performance Athlete,Gym,True
CUST000028,2024-03-15,LOC004,25-34,Men,Urban Runner,Running,False
CUST000029,2025-07-01,LOC014,25-34,Men,Studio Regular,Pilates,True
CUST000030,2024-05-13,LOC012,35-44,Women,Outdoor Explorer,Hiking,False
CUST000031,2023-07-01,LOC013,25-34,Men,Urban Runner,Running,True
CUST000032,2023-04-19,LOC004,18-24,Men,Urban Runner,Running,True
CUST000033,2025-09-11,LOC008,25-34,Women,Outdoor Explorer,Hiking,True
CUST000034,2025-11-25,LOC004,18-24,Women,Active Lifestyle,Pilates,False
CUST000035,2025-09-05,LOC005,55+,Women,Urban Runner,Gym,True
CUST000036,2025-07-30,LOC003,25-34,Non-Binary / Other,Urban Runner,Gym,True
CUST000037,2024-12-08,LOC001,25-34,Men,Performance Athlete,Trail,True
CUST000038,2023-06-10,LOC013,18-24,Women,Studio Regular,Pilates,True
CUST000039,2023-04-13,LOC013,25-34,Women,Active Lifestyle,Gym,True
CUST000040,2024-12-15,LOC006,18-24,Men,Urban Runner,Running,True
CUST000041,2025-12-15,LOC006,45-54,Women,Performance Athlete,Running,False
CUST000042,2023-06-07,LOC002,55+,Women,Active Lifestyle,Running,True
CUST000043,2025-07-08,LOC014,18-24,Women,Outdoor Explorer,Hiking,False
CUST000044,2023-12-08,LOC014,25-34,Women,Performance Athlete,Trail,False
CUST000045,2024-01-28,LOC001,25-34,Women,Urban Runner,Running,False
CUST000046,2023-07-19,LOC002,35-44,Women,Performance Athlete,Running,True
CUST000047,2025-03-09,LOC007,25-34,Men,Outdoor Explorer,Gym,False
CUST000048,2025-03-13,LOC007,35-44,Women,Studio Regular,Pilates,True
CUST000049,2023-04-22,LOC006,35-44,Men,Studio Regular,Gym,True
CUST000050,2025-09-05,LOC003,55+,Men,Urban Runner,Hiking,False
CUST000051,2023-04-17,LOC001,55+,Women,Studio Regular,Pilates,True
CUST000052,2025-04-26,LOC001,45-54,Women,Active Lifestyle,Running,False
CUST000053,2025-08-19,LOC009,18-24,Women,Active Lifestyle,Multi-Sport,True
CUST000054,2024-02-19,LOC011,35-44,Men,Studio Regular,Pilates,True
CUST000055,2023-07-11,LOC007,25-34,Men,Active Lifestyle,Gym,True
CUST000056,2023-05-15,LOC001,18-24,Men,Studio Regular,Pilates,False
CUST000057,2023-02-14,LOC012,25-34,Women,Outdoor Explorer,Running,True
CUST000058,2025-06-29,LOC009,35-44,Men,Urban Runner,Gym,True
CUST000059,2025-09-18,LOC004,25-34,Women,Urban Runner,Running,True
CUST000060,2023-04-26,LOC009,18-24,Men,Active Lifestyle,Gym,False
CUST000061,2024-05-06,LOC004,35-44,Women,Active Lifestyle,Running,False
CUST000062,2025-05-02,LOC004,55+,Men,Studio Regular,Gym,False
CUST000063,2025-12-14,LOC008,18-24,Men,Active Lifestyle,Hiking,True
CUST000064,2025-08-12,LOC004,25-34,Women,Studio Regular,Pilates,True
CUST000065,2025-02-17,LOC009,35-44,Women,Performance Athlete,Multi-Sport,True
CUST000066,2025-05-11,LOC004,18-24,Women,Urban Runner,Running,True
CUST000067,2023-09-27,LOC008,35-44,Men,Outdoor Explorer,Hiking,True
CUST000068,2024-09-23,LOC014,25-34,Women,Active Lifestyle,Pilates,True
CUST000069,2025-12-04,LOC004,35-44,Men,Active Lifestyle,Pilates,True
CUST000070,2025-03-13,LOC002,35-44,Women,Studio Regular,Running,True
CUST000071,2024-06-24,LOC001,35-44,Men,Urban Runner,Hiking,False
CUST000072,2024-06-19,LOC010,35-44,Women,Active Lifestyle,Trail,True
CUST000073,2025-12-15,LOC001,18-24,Women,Urban Runner,Running,True
CUST000074,2023-11-11,LOC007,25-34,Women,Studio Regular,Pilates,True
