order_id,customer_id,order_timestamp,sales_channel,device,currency,shipping_location_id,order_status,promotion_code,campaign_id
ORD0000001,CUST000002,2024-12-02 18:12:05,iOS,Mobile,EUR,LOC004,Completed,CLUB15,
ORD0000002,CUST000005,2023-10-15 13:10:55,Website,Mobile,EUR,LOC013,Completed,,
ORD0000003,CUST000005,2024-03-03 14:27:13,Website,Mobile,EUR,LOC013,Completed,,
ORD0000004,CUST000005,2024-04-13 20:16:37,Android,Mobile,EUR,LOC013,Completed,,
ORD0000005,CUST000006,2024-09-08 21:40:46,Website,Desktop,EUR,LOC009,Completed,SEASON20,
ORD0000006,CUST000006,2024-11-15 08:32:09,Website,Desktop,EUR,LOC009,Completed,,
ORD0000007,CUST000009,2024-06-03 15:47:11,iOS,Tablet,EUR,LOC009,Completed,,
ORD0000008,CUST000009,2024-08-02 11:33:40,Website,Tablet,EUR,LOC009,Completed,,
ORD0000009,CUST000009,2024-12-27 18:05:18,Android,Mobile,EUR,LOC009,Completed,,
ORD0000010,CUST000011,2024-09-28 18:38:08,Website,Mobile,EUR,LOC012,Completed,,
ORD0000011,CUST000011,2024-11-06 19:46:39,Website,Mobile,EUR,LOC011,Completed,,
ORD0000012,CUST000013,2024-08-08 10:14:06,Website,Mobile,CHF,LOC014,Completed,,
ORD0000013,CUST000014,2025-04-16 19:34:38,Website,Mobile,EUR,LOC013,Completed,,
ORD0000014,CUST000014,2025-07-06 12:36:01,Website,Mobile,EUR,LOC013,Completed,,
ORD0000015,CUST000014,2025-07-28 14:59:51,Website,Mobile,EUR,LOC013,Cancelled,,
ORD0000016,CUST000014,2025-09-07 12:55:17,Website,Mobile,EUR,LOC013,Completed,,
ORD0000017,CUST000015,2023-09-08 17:24:24,Website,Mobile,EUR,LOC004,Completed,,
ORD0000018,CUST000016,2025-03-04 09:46:43,Website,Desktop,EUR,LOC009,Completed,,
ORD0000019,CUST000016,2025-04-15 15:56:09,Website,Desktop,EUR,LOC010,Completed,,CAMP0005
ORD0000020,CUST000016,2025-06-07 13:14:18,Website,Desktop,EUR,LOC010,Completed,,
ORD0000021,CUST000016,2025-09-04 09:20:07,Website,Desktop,EUR,LOC010,Completed,,
ORD0000022,CUST000018,2025-05-07 22:15:46,Website,Mobile,EUR,LOC007,Completed,,
ORD0000023,CUST000019,2023-04-12 09:26:54,Website,Mobile,EUR,LOC004,Completed,WELCOME10,
ORD0000024,CUST000019,2023-05-19 12:48:34,iOS,Mobile,EUR,LOC004,Completed,,
ORD0000025,CUST000019,2023-08-19 19:29:43,Android,Mobile,EUR,LOC004,Completed,,
ORD0000026,CUST000019,2023-10-10 16:05:38,Android,Mobile,EUR,LOC004,Completed,,
ORD0000027,CUST000019,2023-12-30 08:10:29,Android,Mobile,EUR,LOC006,Completed,,
ORD0000028,CUST000019,2024-02-03 09:10:35,Android,Mobile,EUR,LOC004,Completed,,
ORD0000029,CUST000019,2025-02-01 16:26:20,Android,Mobile,EUR,LOC004,Completed,,
ORD0000030,CUST000021,2025-05-18 15:26:56,Website,Desktop,EUR,LOC008,Completed,,
ORD0000031,CUST000021,2025-08-08 12:57:19,Website,Desktop,EUR,LOC008,Completed,,
ORD0000032,CUST000021,2025-10-05 08:21:49,iOS,Mobile,EUR,LOC008,Completed,,
ORD0000033,CUST000022,2025-10-24 09:39:40,iOS,Mobile,EUR,LOC004,Completed,CLUB15,
ORD0000034,CUST000023,2025-08-26 11:14:02,iOS,Mobile,EUR,LOC013,Completed,,
ORD0000035,CUST000023,2025-10-24 20:27:48,Website,Mobile,EUR,LOC013,Completed,FREESHIP,
ORD0000036,CUST000024,2025-04-28 10:31:02,Website,Mobile,CHF,LOC014,Cancelled,,
ORD0000037,CUST000024,2025-11-23 21:05:44,Website,Mobile,CHF,LOC014,Completed,,
ORD0000038,CUST000026,2025-03-28 19:20:39,Website,Desktop,GBP,LOC002,Completed,,
ORD0000039,CUST000026,2025-05-04 19:22:15,Website,Desktop,GBP,LOC002,Completed,,
ORD0000040,CUST000027,2025-11-16 20:53:09,Website,Mobile,EUR,LOC005,Completed,,
ORD0000041,CUST000028,2024-05-04 22:29:30,Website,Desktop,EUR,LOC004,Completed,,
ORD0000042,CUST000028,2024-05-23 11:16:07,Website,Mobile,EUR,LOC004,Refunded,,
ORD0000043,CUST000028,2024-06-15 15:55:41,Android,Mobile,EUR,LOC005,Completed,,
ORD0000044,CUST000028,2024-07-26 20:01:42,Website,Desktop,EUR,LOC005,Completed,,
ORD0000045,CUST000029,2025-07-05 21:04:23,Website,Mobile,CHF,LOC014,Completed,,
ORD0000046,CUST000029,2025-09-11 17:18:57,Website,Desktop,CHF,LOC014,Completed,,CAMP0067
ORD0000047,CUST000031,2023-07-06 14:00:57,iOS,Mobile,EUR,LOC013,Cancelled,,
ORD0000048,CUST000031,2024-05-18 20:25:28,Android,Mobile,EUR,LOC013,Completed,,
ORD0000049,CUST000032,2023-04-21 20:15:47,Website,Mobile,EUR,LOC004,Completed,SEASON20,
ORD0000050,CUST000032,2023-07-10 17:55:52,Website,Mobile,EUR,LOC004,Completed,,
ORD0000051,CUST000032,2023-08-30 13:55:25,Website,Mobile,EUR,LOC004,Completed,,
ORD0000052,CUST000032,2023-12-23 14:31:14,Website,Mobile,EUR,LOC004,Completed,,
ORD0000053,CUST000032,2024-06-06 20:57:06,Website,Mobile,EUR,LOC004,Completed,,
ORD0000054,CUST000032,2024-08-07 10:11:49,Website,Mobile,EUR,LOC004,Completed,,
ORD0000055,CUST000032,2024-09-19 21:35:09,iOS,Mobile,EUR,LOC004,Completed,,
ORD0000056,CUST000032,2024-10-17 09:32:01,Website,Mobile,EUR,LOC004,Completed,,
ORD0000057,CUST000032,2024-11-26 08:25:35,Website,Mobile,EUR,LOC004,Completed,,
ORD0000058,CUST000032,2025-02-17 12:59:30,Website,Desktop,EUR,LOC004,Completed,,
ORD0000059,CUST000034,2025-12-02 11:13:14,Website,Tablet,EUR,LOC004,Completed,,
ORD0000060,CUST000035,2025-09-05 13:55:31,Website,Mobile,EUR,LOC005,Completed,,
ORD0000061,CUST000035,2025-12-14 08:24:55,Website,Mobile,EUR,LOC005,Completed,,
ORD0000062,CUST000038,2023-08-24 10:49:32,Android,Mobile,EUR,LOC013,Completed,,
ORD0000063,CUST000038,2024-02-06 14:47:23,Website,Mobile,EUR,LOC013,Completed,,
ORD0000064,CUST000038,2024-02-21 10:26:28,Android,Mobile,EUR,LOC013,Completed,SEASON20,
ORD0000065,CUST000038,2024-03-16 13:30:21,Android,Mobile,EUR,LOC013,Completed,,
ORD0000066,CUST000038,2024-05-09 18:14:17,Android,Mobile,EUR,LOC013,Completed,,
ORD0000067,CUST000040,2025-01-02 16:57:50,Website,Mobile,EUR,LOC006,Completed,,
ORD0000068,CUST000040,2025-05-22 15:45:37,Website,Desktop,EUR,LOC006,Completed,SEASON20,
ORD0000069,CUST000040,2025-08-24 11:35:41,Website,Desktop,EUR,LOC006,Completed,,
ORD0000070,CUST000042,2024-04-16 10:57:57,Website,Tablet,GBP,LOC002,Completed,,
ORD0000071,CUST000047,2025-03-18 09:31:36,iOS,Mobile,EUR,LOC007,Completed,,
ORD0000072,CUST000047,2025-05-03 16:28:27,iOS,Tablet,EUR,LOC007,Completed,,
ORD0000073,CUST000050,2025-09-16 21:50:07,Website,Mobile,GBP,LOC003,Completed,,CAMP0026
ORD0000074,CUST000050,2025-10-15 17:43:25,Website,Desktop,GBP,LOC003,Completed,,CAMP0001
ORD0000075,CUST000052,2025-10-07 19:38:16,iOS,Mobile,GBP,LOC001,Completed,,
ORD0000076,CUST000052,2025-12-06 10:57:08,iOS,Mobile,GBP,LOC001,Completed,SEASON20,
ORD0000077,CUST000053,2025-08-29 18:10:33,Website,Mobile,EUR,LOC009,Completed,,
ORD0000078,CUST000055,2023-08-02 22:00:43,Android,Mobile,EUR,LOC007,Completed,CLUB15,
ORD0000079,CUST000056,2023-11-01 17:07:07,Android,Mobile,GBP,LOC001,Completed,,
ORD0000080,CUST000056,2024-03-20 08:05:27,Android,Mobile,GBP,LOC001,Completed,,
ORD0000081,CUST000057,2023-03-01 14:00:18,Website,Mobile,EUR,LOC012,Completed,,
ORD0000082,CUST000061,2024-11-07 17:08:39,Website,Mobile,EUR,LOC004,Completed,,
ORD0000083,CUST000061,2025-04-24 08:14:14,Website,Mobile,EUR,LOC006,Completed,,
ORD0000084,CUST000061,2025-10-04 10:00:54,Website,Mobile,EUR,LOC004,Completed,,
ORD0000085,CUST000062,2025-05-03 08:49:36,Website,Mobile,EUR,LOC004,Completed,,
ORD0000086,CUST000066,2025-09-19 08:27:12,Website,Mobile,EUR,LOC004,Completed,,
