sku_id,product_id,colour_family,size,active_flag
SKU000001,PROD0001,Black,XS,True
SKU000002,PROD0001,Black,S,True
SKU000003,PROD0001,Black,M,True
SKU000004,PROD0001,Black,L,True
SKU000005,PROD0001,Black,XL,True
SKU000006,PROD0001,Brown,XS,True
SKU000007,PROD0001,Brown,S,True
SKU000008,PROD0001,Brown,M,True
SKU000009,PROD0001,Brown,L,True
SKU000010,PROD0001,Brown,XL,True
SKU000011,PROD0001,White,XS,True
SKU000012,PROD0001,White,S,True
SKU000013,PROD0001,White,M,True
SKU000014,PROD0001,White,L,True
SKU000015,PROD0001,White,XL,True
SKU000016,PROD0001,Navy,XS,True
SKU000017,PROD0001,Navy,S,True
SKU000018,PROD0001,Navy,M,True
SKU000019,PROD0001,Navy,L,True
SKU000020,PROD0001,Navy,XL,True
SKU000021,PROD0002,Navy,XS,True
SKU000022,PROD0002,Navy,S,True
SKU000023,PROD0002,Navy,M,True
SKU000024,PROD0002,Navy,L,True
SKU000025,PROD0002,Navy,XL,True
SKU000026,PROD0002,Grey,XS,True
SKU000027,PROD0002,Grey,S,True
SKU000028,PROD0002,Grey,M,True
SKU000029,PROD0002,Grey,L,True
SKU000030,PROD0002,Grey,XL,True
SKU000031,PROD0002,Red,XS,True
SKU000032,PROD0002,Red,S,True
SKU000033,PROD0002,Red,M,True
SKU000034,PROD0002,Red,L,True
SKU000035,PROD0002,Red,XL,True
SKU000036,PROD0002,Blue,XS,True
SKU000037,PROD0002,Blue,S,True
SKU000038,PROD0002,Blue,M,True
SKU000039,PROD0002,Blue,L,True
SKU000040,PROD0002,Blue,XL,True
SKU000041,PROD0003,Navy,XS,True
SKU000042,PROD0003,Navy,S,True
SKU000043,PROD0003,Navy,M,True
SKU000044,PROD0003,Navy,L,True
SKU000045,PROD0003,Navy,XL,True
SKU000046,PROD0003,Grey,XS,True
SKU000047,PROD0003,Grey,S,True
SKU000048,PROD0003,Grey,M,True
SKU000049,PROD0003,Grey,L,True
SKU000050,PROD0003,Grey,XL,True
SKU000051,PROD0003,Black,XS,True
SKU000052,PROD0003,Black,S,True
SKU000053,PROD0003,Black,M,True
SKU000054,PROD0003,Black,L,True
SKU000055,PROD0003,Black,XL,True
SKU000056,PROD0004,Red,XS,True
SKU000057,PROD0004,Red,S,True
SKU000058,PROD0004,Red,M,True
SKU000059,PROD0004,Red,L,True
SKU000060,PROD0004,Red,XL,True
SKU000061,PROD0004,Brown,XS,True
SKU000062,PROD0004,Brown,S,True
SKU000063,PROD0004,Brown,M,True
SKU000064,PROD0004,Brown,L,True
SKU000065,PROD0004,Brown,XL,True
SKU000066,PROD0004,White,XS,True
SKU000067,PROD0004,White,S,True
SKU000068,PROD0004,White,M,True
SKU000069,PROD0004,White,L,True
SKU000070,PROD0004,White,XL,True
SKU000071,PROD0005,Red,XS,True
SKU000072,PROD0005,Red,S,True
SKU000073,PROD0005,Red,M,True
SKU000074,PROD0005,Red,L,True
SKU000075,PROD0005,Red,XL,True
SKU000076,PROD0005,White,XS,True
SKU000077,PROD0005,White,S,True
SKU000078,PROD0005,White,M,True
SKU000079,PROD0005,White,L,True
SKU000080,PROD0005,White,XL,True
SKU000081,PROD0005,Orange,XS,True
SKU000082,PROD0005,Orange,S,True
SKU000083,PROD0005,Orange,M,True
SKU000084,PROD0005,Orange,L,True
SKU000085,PROD0005,Orange,XL,True
SKU000086,PROD0006,Black,XS,True
SKU000087,PROD0006,Black,S,True
SKU000088,PROD0006,Black,M,True
SKU000089,PROD0006,Black,L,True
SKU000090,PROD0006,Black,XL,True
SKU000091,PROD0006,Green,XS,True
SKU000092,PROD0006,Green,S,True
SKU000093,PROD0006,Green,M,True
SKU000094,PROD0006,Green,L,True
SKU000095,PROD0006,Green,XL,True
SKU000096,PROD0007,Navy,XS,True
SKU000097,PROD0007,Navy,S,True
SKU000098,PROD0007,Navy,M,True
SKU000099,PROD0007,Navy,L,True
SKU000100,PROD0007,Navy,XL,True
SKU000101,PROD0007,White,XS,True
SKU000102,PROD0007,White,S,True
SKU000103,PROD0007,White,M,True
SKU000104,PROD0007,White,L,True
SKU000105,PROD0007,White,XL,True
SKU000106,PROD0008,Grey,XS,True
SKU000107,PROD0008,Grey,S,True
SKU000108,PROD0008,Grey,M,True
SKU000109,PROD0008,Grey,L,True
SKU000110,PROD0008,Grey,XL,True
SKU000111,PROD0008,White,XS,True
SKU000112,PROD0008,White,S,True
SKU000113,PROD0008,White,M,True
SKU000114,PROD0008,White,L,True
SKU000115,PROD0008,White,XL,True
SKU000116,PROD0009,Navy,XS,True
SKU000117,PROD0009,Navy,S,True
SKU000118,PROD0009,Navy,M,True
SKU000119,PROD0009,Navy,L,True
SKU000120,PROD0009,Navy,XL,True
SKU000121,PROD0009,White,XS,True
SKU000122,PROD0009,White,S,True
SKU000123,PROD0009,White,M,True
SKU000124,PROD0009,White,L,True
SKU000125,PROD0009,White,XL,True
SKU000126,PROD0010,Grey,XS,True
SKU000127,PROD0010,Grey,S,True
SKU000128,PROD0010,Grey,M,True
SKU000129,PROD0010,Grey,L,True
SKU000130,PROD0010,Grey,XL,True
SKU000131,PROD0010,Black,XS,True
SKU000132,PROD0010,Black,S,True
SKU000133,PROD0010,Black,M,True
SKU000134,PROD0010,Black,L,True
SKU000135,PROD0010,Black,XL,True
SKU000136,PROD0010,Green,XS,True
SKU000137,PROD0010,Green,S,True
SKU000138,PROD0010,Green,M,True
SKU000139,PROD0010,Green,L,True
SKU000140,PROD0010,Green,XL,True
SKU000141,PROD0011,White,XS,True
SKU000142,PROD0011,White,S,True
SKU000143,PROD0011,White,M,True
SKU000144,PROD0011,White,L,True
SKU000145,PROD0011,White,XL,True
SKU000146,PROD0011,Black,XS,True
SKU000147,PROD0011,Black,S,True
SKU000148,PROD0011,Black,M,True
SKU000149,PROD0011,Black,L,True
SKU000150,PROD0011,Black,XL,True
SKU000151,PROD0012,Brown,XS,True
SKU000152,PROD0012,Brown,S,True
SKU000153,PROD0012,Brown,M,True
SKU000154,PROD0012,Brown,L,True
SKU000155,PROD0012,Brown,XL,True
SKU000156,PROD0012,Navy,XS,True
SKU000157,PROD0012,Navy,S,True
SKU000158,PROD0012,Navy,M,True
SKU000159,PROD0012,Navy,L,True
SKU000160,PROD0012,Navy,XL,True
SKU000161,PROD0012,Black,XS,True
SKU000162,PROD0012,Black,S,True
SKU000163,PROD0012,Black,M,True
SKU000164,PROD0012,Black,L,True
SKU000165,PROD0012,Black,XL,True
SKU000166,PROD0013,Grey,XS,True
SKU000167,PROD0013,Grey,S,True
SKU000168,PROD0013,Grey,M,True
SKU000169,PROD0013,Grey,L,True
SKU000170,PROD0013,Grey,XL,True
SKU000171,PROD0013,White,XS,True
SKU000172,PROD0013,White,S,True
SKU000173,PROD0013,White,M,True
SKU000174,PROD0013,White,L,True
SKU000175,PROD0013,White,XL,True
SKU000176,PROD0013,Black,XS,True
SKU000177,PROD0013,Black,S,True
SKU000178,PROD0013,Black,M,True
SKU000179,PROD0013,Black,L,True
SKU000180,PROD0013,Black,XL,True
SKU000181,PROD0014,Brown,XS,True
SKU000182,PROD0014,Brown,S,True
SKU000183,PROD0014,Brown,M,True
SKU000184,PROD0014,Brown,L,True
SKU000185,PROD0014,Brown,XL,True
SKU000186,PROD0014,Grey,XS,True
SKU000187,PROD0014,Grey,S,True
SKU000188,PROD0014,Grey,M,True
SKU000189,PROD0014,Grey,L,True
SKU000190,PROD0014,Grey,XL,True
SKU000191,PROD0015,Green,XS,True
SKU000192,PROD0015,Green,S,True
SKU000193,PROD0015,Green,M,True
SKU000194,PROD0015,Green,L,True
SKU000195,PROD0015,Green,XL,True
SKU000196,PROD0015,Brown,XS,True
SKU000197,PROD0015,Brown,S,True
SKU000198,PROD0015,Brown,M,True
SKU000199,PROD0015,Brown,L,True
SKU000200,PROD0015,Brown,XL,True
SKU000201,PROD0015,Navy,XS,True
SKU000202,PROD0015,Navy,S,True
SKU000203,PROD0015,Navy,M,True
SKU000204,PROD0015,Navy,L,True
SKU000205,PROD0015,Navy,XL,True
SKU000206,PROD0015,Black,XS,True
SKU000207,PROD0015,Black,S,True
SKU000208,PROD0015,Black,M,True
SKU000209,PROD0015,Black,L,True
SKU000210,PROD0015,Black,XL,True
SKU000211,PROD0016,Grey,XS,True
SKU000212,PROD0016,Grey,S,True
SKU000213,PROD0016,Grey,M,True
SKU000214,PROD0016,Grey,L,True
SKU000215,PROD0016,Grey,XL,True
SKU000216,PROD0016,White,XS,True
SKU000217,PROD0016,White,S,True
SKU000218,PROD0016,White,M,True
SKU000219,PROD0016,White,L,True
